,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
          Female,45,52,3.3,3.9,1.1,1.7,2.6,3.7,0,2.7,0,2.7,0,2.7,0,2.7,0,2.7,0,2.7
"7350 Maintenance workers, machinery 7350 (SOC 49-9043)",40,35,100,50.4,50,50,25,44.1,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,25,39.7
          Male,40,35,100,50.4,50,50,25,44.1,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,25,39.7
          Female,0,127,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
7410 Electrical power-line installers and repairers 7410 (SOC 49-9051),225,161,100,15.3,8.9,13.5,33.3,27.4,0,15.3,15.6,19.4,0,15.3,0,15.3,40,29.3,0,15.3
          Male,225,161,100,15.3,8.9,13.5,33.3,27.4,0,15.3,15.6,19.4,0,15.3,0,15.3,40,29.3,0,15.3
          Female,0,127,0,15.3,0,15.3,0,15.3,0,15.3,0,15.3,0,15.3,0,15.3,0,15.3,0,15.3
7420 Telecommunications line installers and repairers 7420 (SOC 49-9052),"1,090",261,100,3.4,22,10,65.6,10.5,0,3.4,2.8,4.2,0,3.4,3.7,12.7,3.7,5.4,2.3,3.7
          Male,"1,035",262,95,4.2,19.3,9.3,63.3,10.8,0,3.4,2.8,4.2,0,3.4,3.7,12.7,3.7,5.4,2.3,3.7
          Female,50,43,4.6,4.2,2.8,3.2,1.8,2.5,0,3.4,0,3.4,0,3.4,0,3.4,0,3.4,0,3.4
7430 Precision instrument and equipment repairers 7430 (SOC 49-9060),90,64,100,32.7,22.2,30.6,22.2,32.7,0,32.7,0,32.7,0,32.7,44.4,150.5,0,32.7,16.7,25
          Male,75,58,83.3,26.7,22.2,30.6,16.7,30.6,0,32.7,0,32.7,0,32.7,44.4,150.5,0,32.7,4.4,3.3
          Female,15,25,16.7,26.3,0,32.7,4.4,15.4,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,11.1,22.8
"7510 Coin, vending, and amusement machine servicers and repairers 7510 (SOC 49-9091)",145,89,100,22.5,17.2,19.6,82.8,19.6,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
          Male,130,90,89.7,17.1,17.2,19.6,72.4,21.9,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
          Female,15,24,10.3,17.4,0,22.5,10.3,17.4,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
7540 Locksmiths and safe repairers 7540 (SOC 49-9094),75,54,100,36.7,13.3,24.8,73.3,34.4,0,36.7,20,31.4,0,36.7,0,36.7,0,36.7,0,36.7
          Male,75,54,100,36.7,13.3,24.8,73.3,34.4,0,36.7,20,31.4,0,36.7,0,36.7,0,36.7,0,36.7
          Female,0,127,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7
7560 Riggers 7560 (SOC 49-9096),30,41,100,58.2,0,58.2,100,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Male,30,41,100,58.2,0,58.2,100,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Female,0,127,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
"7610 Helpers--installation, maintenance, and repair workers 7610 (SOC 49-9098)",125,76,100,25.5,12,18.3,24,27,0,25.5,0,25.5,0,25.5,0,25.5,44,32.9,24,25
          Male,110,73,88,19.3,12,18.3,24,27,0,25.5,0,25.5,0,25.5,0,25.5,32,34.1,24,25
          Female,15,24,12,19.6,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,12,19.6,0,25.5
"7630 Other installation, maintenance, and repair workers, including wind turbine service technicians, and commercial divers, and signal and track switch repairers 7630 (SOC 49-909X)",600,206,100,6.1,27.5,13.5,43.3,16.1,0,6.1,0.7,2,0,6.1,3.3,21.9,14.2,15.7,10,9.6
          Male,600,206,100,6.1,27.5,13.5,43.3,16.1,0,6.1,0.7,2,0,6.1,3.3,21.9,14.2,15.7,10,9.6
          Female,0,127,0,6.1,0,6.1,0,6.1,0,6.1,0,6.1,0,6.1,0,6.1,0,6.1,0,6.1
7700 First-line supervisors of production and operating workers 7700 (SOC 51-1011),720,172,100,5.1,16.7,8.6,67.4,11.1,0,5.1,3.5,4.4,0,5.1,4.7,18.5,4.9,4.6,2.8,5
          Male,450,137,62.5,12.2,11.8,7,38.2,11.3,0,5.1,3.5,4.4,0,5.1,2.6,18.2,3.5,4.1,2.8,5
          Female,270,112,37.5,12.1,4.9,5,29.2,10.9,0,5.1,0,5.1,0,5.1,2.1,17.9,1.4,2.2,0,5.1
"7720 Electrical, electronics, and electromechanical assemblers 7720 (SOC 51-2020)",120,87,100,26.3,0,26.3,66.7,33.5,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,29.2,33.3
          Male,35,53,29.2,38.7,0,26.3,29.2,38.7,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3
          Female,85,66,70.8,38.5,0,26.3,37.5,37.9,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,29.2,33.3
7740 Structural metal fabricators and fitters 7740 (SOC 51-2041),30,38,100,58.2,0,58.2,0,58.2,0,58.2,13.3,60.9,0,58.2,0,58.2,66.7,66.7,0,58.2
          Male,30,38,100,58.2,0,58.2,0,58.2,0,58.2,13.3,60.9,0,58.2,0,58.2,66.7,66.7,0,58.2
          Female,0,127,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
7750 Miscellaneous assemblers and fabricators 7750 (SOC 51-2090),575,193,100,6.3,30.4,13.8,40.9,17.2,0,6.3,1.7,3.8,5.2,7.9,0,0,2.6,4.4,19.1,12.5
          Male,475,176,82.6,11.7,29.6,13.7,35.7,17.4,0,6.3,0.7,2.2,0,6.3,0,6.3,2.6,4.4,14.8,11.8
          Female,100,75,17.4,12.1,1.7,2.9,5.2,5.8,0,6.3,0.7,1.9,5.2,7.9,0,0,0,6.3,4.3,6.9
7800 Bakers 7800 (SOC 51-3011),510,174,100,7.1,7.8,7.3,50,15.6,0,7.1,0.8,2.4,0,7.1,0,7.1,18.6,11.7,23.5,13.3
          Male,165,72,32.4,14,0,7.1,10.8,8.9,0,7.1,0.8,2.4,0,7.1,0,7.1,6.9,6.7,13.7,10.5
          Female,345,155,67.6,14,7.8,7.3,38.2,15.1,0,7.1,0,7.1,0,7.1,0,7.1,11.8,9.9,9.8,12.7
"7810 Butchers and other meat, poultry, and fish processing workers 7810 (SOC 51-3020)",415,193,100,8.6,13.3,13.2,36.1,22.5,0,8.6,3.6,5.2,0,8.6,2.4,31,4.8,7.8,39.8,25
          Male,335,193,80.7,15.7,12,12.4,33.7,22.3,0,8.6,0,8.6,0,8.6,2.4,31,0,8.6,32.5,26.4
          Female,80,57,19.3,15.5,2.4,3.5,2.4,3.6,0,8.6,3.6,5.2,0,8.6,0,8.6,4.8,7.8,7.2,8.8
7840 Food batchmakers 7840 (SOC 51-3092),185,108,100,18.2,21.6,23.9,8.1,14.6,0,18.2,0,18.2,0,18.2,0,18.2,51.4,31.7,18.9,17.9
          Male,0,127,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2
          Female,185,108,100,18.2,21.6,23.9,8.1,14.6,0,18.2,0,18.2,0,18.2,0,18.2,51.4,31.7,18.9,17.9
"7855 Food processing workers, all other 7855 (SOC 51-3099)",95,105,100,31.4,15.8,41.9,63.2,40,0,31.4,0,31.4,0,31.4,0,31.4,15.8,23.3,0,31.4
          Male,80,91,84.2,23.5,15.8,41.9,63.2,40,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4
          Female,15,25,15.8,23.3,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,15.8,23.3,0,31.4
7900 Computer control programmers and operators 7900 (SOC 51-4010),20,26,100,71.2,20,80,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,75,73.2,0,71.2
          Male,20,26,100,71.2,20,80,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,75,73.2,0,71.2
          Female,0,127,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
"7950 Cutting, punching, and press machine setters, operators, and tenders, metal and plastic 7950 (SOC 51-4031)",60,46,100,41.1,0,41.1,66.7,40.8,0,41.1,25,37.4,0,41.1,0,41.1,0,41.1,16.7,25
          Male,60,46,100,41.1,0,41.1,66.7,40.8,0,41.1,25,37.4,0,41.1,0,41.1,0,41.1,16.7,25
          Female,0,127,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
8030 Machinists 8030 (SOC 51-4041),180,110,100,18.7,11.1,13.1,58.3,28.2,0,18.7,11.1,17.5,0,18.7,19.4,74.9,0,18.7,0,18.7
          Male,175,110,97.2,10.2,5.6,11,58.3,28.2,0,18.7,11.1,17.5,0,18.7,19.4,74.9,0,18.7,0,18.7
          Female,4,18,2.2,11,2.2,11,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
"8040 Metal furnace operators, tenders, pourers, and casters 8040 (SOC 51-4050)",10,21,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,10,21,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"8100 Molders and molding machine setters, operators, and tenders, metal and plastic 8100 (SOC 51-4070)",10,21,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,10,21,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"8140 Welding, soldering, and brazing workers 8140 (SOC 51-4120)",765,251,100,4.8,12.4,10.5,56.9,16.9,0,4.8,0,4.8,0,4.8,0.5,16.8,3.3,3.9,26.8,14.1
          Male,705,238,92.2,7.5,12.4,10.5,52.9,17.1,0,4.8,0,4.8,0,4.8,0.5,16.8,3.3,3.9,22.2,12.4
          Female,60,60,7.8,7.5,0,4.8,3.3,6.1,0,4.8,0,4.8,0,4.8,0,4.8,0,4.8,4.6,5.9
"8200 Plating and coating machine setters, operators, and tenders, metal and plastic 8200 (SOC 51-4193)",45,54,100,47.5,0,47.5,66.7,59.8,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,22.2,61.4
          Male,10,21,22.2,61.4,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,22.2,61.4
          Female,30,51,66.7,59.8,0,47.5,66.7,59.8,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
"8220 Miscellaneous metal workers and plastic workers, including milling and planing machine setters, and multiple machine tool setters, and layout workers 8220 (SOC 51-4XXX)",125,73,100,25.5,0,25.5,24,23.3,0,25.5,56,26.1,0,25.5,0,25.5,16,24.1,0,25.5
          Male,85,53,68,23.5,0,25.5,24,23.3,0,25.5,40,19,0,25.5,0,25.5,3.2,14.7,0,25.5
          Female,35,36,28,20.6,0,25.5,0,25.5,0,25.5,16,15.7,0,25.5,0,25.5,12,21,0,25.5
8250 Prepress technicians and workers 8250 (SOC 51-5111),230,106,100,15,10.9,12.9,82.6,20.1,0,15,0,15,0,15,0,15,8.7,14.8,0,15
          Male,165,89,71.7,19.2,6.5,10.3,65.2,22.9,0,15,0,15,0,15,0,15,0,15,0,15
          Female,70,50,30.4,18.8,4.3,6.5,15.2,13.9,0,15,0,15,0,15,0,15,8.7,14.8,0,15
8255 Printing press operators 8255 (SOC 51-5112),945,205,100,3.9,15.3,6.8,66.1,9.4,0,3.9,9.5,6.1,0,3.9,1.1,13.5,5.3,4.1,2.6,3.1
          Male,700,178,74.1,9.2,11.1,5.2,49.7,10.9,0,3.9,7.9,5.7,0,3.9,1.1,13.5,1.6,2.4,2.6,3.1
          Female,245,98,25.9,9.1,4.8,3.7,16.4,8.7,0,3.9,1.6,2.4,0,3.9,0,3.9,3.2,3.9,0,3.9
8256 Print binding and finishing workers 8256 (SOC 51-5113),160,87,100,20.7,12.5,14.2,46.9,27.3,0,20.7,6.3,13.5,0,20.7,18.8,84.5,15.6,21.9,0,20.7
          Male,75,57,46.9,28.1,0,20.7,37.5,26.9,0,20.7,6.3,13.5,0,20.7,0,20.7,0,20.7,0,20.7
          Female,90,63,56.3,27.9,12.5,14.2,9.4,13.9,0,20.7,0,20.7,0,20.7,18.8,84.5,15.6,21.9,0,20.7
8300 Laundry and dry-cleaning workers 8300 (SOC 51-6011),885,284,100,4.1,2.3,2.9,46.3,14.1,0,4.1,10.2,8.1,0,4.1,0,4.1,0.5,1.6,41.8,16.5
          Male,450,166,50.8,13.8,1.1,2,25.4,12.3,0,4.1,6.2,5.9,0,4.1,0,4.1,0,4.1,18.6,10.9
          Female,435,203,49.2,13.9,1.1,1.7,20.9,13.4,0,4.1,4,5.8,0,4.1,0,4.1,0.5,1.6,23.2,11.1
"8310 Pressers, textile, garment, and related materials 8310 (SOC 51-6021)",435,176,100,8.3,2.3,4.8,13.8,14.3,0,8.3,5.7,6.2,0,8.3,0,8.3,40.2,17.8,39.1,20.1
          Male,70,59,16.1,12.4,0,8.3,3.4,5.7,0,8.3,0,8.3,0,8.3,0,8.3,12.6,11.9,0,8.3
          Female,365,163,83.9,12.7,2.3,4.8,10.3,10.3,0,8.3,5.7,6.2,0,8.3,0,8.3,27.6,14.1,39.1,20.1
8320 Sewing machine operators 8320 (SOC 51-6031),250,113,100,13.9,0,13.9,30,19.8,0,13.9,18,18.4,0,13.9,0,13.9,52,22.2,0,13.9
          Male,4,16,1.6,6.7,0,13.9,1.6,6.7,0,13.9,0,13.9,0,13.9,0,13.9,0,13.9,0,13.9
          Female,245,112,98,6.8,0,13.9,28,18.9,0,13.9,18,18.4,0,13.9,0,13.9,52,22.2,0,13.9
8330 Shoe and leather workers and repairers 8330 (SOC 51-6041),15,30,100,82.2,0,82.3,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Male,15,30,100,82.2,0,82.3,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,0,127,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
8340 Shoe machine operators and tenders 8340 (SOC 51-6042),25,42,100,63.7,100,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Male,0,127,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Female,25,42,100,63.7,100,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
"8350 Tailors, dressmakers, and sewers 8350 (SOC 51-6050)",250,137,100,13.9,4,8.6,42,25.9,0,13.9,38,21.1,0,13.9,1.6,50.9,4,6.2,12,14.8
          Male,90,83,36,21.7,0,13.9,24,21.2,0,13.9,10,9.9,0,13.9,1.6,101.7,0,13.9,0,13.9
          Female,165,84,66,20.8,4,8.6,18,17.6,0,13.9,28,18.2,0,13.9,0,13.9,4,6.2,12,14.8
"8410 Textile knitting and weaving machine setters, operators, and tenders 8410 (SOC 51-6063)",25,42,100,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,100,63.7,0,63.7
          Male,25,42,100,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,100,63.7,0,63.7
          Female,0,127,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
8450 Upholsterers 8450 (SOC 51-6093),110,82,100,28.2,3.6,19,68.2,37.9,0,28.2,0,28.2,0,28.2,0,28.2,27.3,36.3,0,28.2
          Male,110,82,100,28.2,3.6,19,68.2,37.9,0,28.2,0,28.2,0,28.2,0,28.2,27.3,36.3,0,28.2
          Female,0,127,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
"8460 Miscellaneous textile, apparel, and furnishings workers except upholsterers 8460 (SOC 51-609X)",15,22,100,82.2,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Male,15,22,100,82.2,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,0,127,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
8500 Cabinetmakers and bench carpenters 8500 (SOC 51-7011),125,89,100,25.5,64,37.5,24,30.7,0,25.5,16,29.2,0,25.5,0,25.5,0,25.5,0,25.5
          Male,125,89,100,25.5,64,37.5,24,30.7,0,25.5,16,29.2,0,25.5,0,25.5,0,25.5,0,25.5
          Female,0,127,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
8510 Furniture finishers 8510 (SOC 51-7021),65,46,100,39.5,23.1,44.2,61.5,42.6,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,15.4,30.6
          Male,65,46,100,39.5,23.1,44.2,61.5,42.6,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,15.4,30.6
          Female,0,127,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5
"8540 Woodworking machine setters, operators, and tenders, except sawing 8540 (SOC 51-7042)",4,15,100,100,0,100,0,100,0,100,100,100,0,100,0,100,0,100,0,100
          Male,4,15,100,100,0,100,0,100,0,100,100,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"8600 Power plant operators, distributors, and dispatchers 8600 (SOC 51-8010)",30,33,100,58.2,33.3,53,66.7,59.7,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Male,30,33,100,58.2,33.3,53,66.7,59.7,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Female,0,127,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
8610 Stationary engineers and boiler operators 8610 (SOC 51-8021),"1,190",248,100,3.1,10.1,6,63.9,10.3,0,3.1,3.4,3.5,0,3.1,2.9,11.5,1.3,2,18.9,8.6
          Male,"1,180",250,99.2,1.3,10.1,6,63,10.3,0,3.1,3.4,3.5,0,3.1,2.9,11.5,1.3,2,18.9,8.6
          Female,10,15,0.8,1.2,0,3.1,0.8,1.2,0,3.1,0,3.1,0,3.1,0,3.1,0,3.1,0,3.1
8620 Water and wastewater treatment plant and system operators 8620 (SOC 51-8031),170,95,100,19.7,8.8,17.2,91.2,15.8,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7
          Male,140,91,82.4,20.8,0,19.7,82.4,20.8,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7
          Female,30,34,17.6,20.8,8.8,17.2,8.8,13.8,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7
8630 Miscellaneous plant and system operators 8630 (SOC 51-8090),10,16,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,10,16,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"8640 Chemical processing machine setters, operators, and tenders 8640 (SOC 51-9010)",60,62,100,41.1,33.3,46.3,50,50,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,16.7,25.8
          Male,50,58,83.3,28.8,33.3,46.3,50,50,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
          Female,10,15,16.7,25.8,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,16.7,25.8
"8650 Crushing, grinding, polishing, mixing, and blending workers 8650 (SOC 51-9020)",60,43,100,41.1,16.7,24.8,83.3,28,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
          Male,60,43,100,41.1,16.7,24.8,83.3,28,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
          Female,0,127,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
8710 Cutting workers 8710 (SOC 51-9030),110,80,100,28.2,9.1,19.7,45.5,37.5,0,28.2,31.8,42,0,28.2,0,28.2,9.1,24.3,0,28.2
          Male,95,71,86.4,19.9,0,28.2,45.5,37.5,0,28.2,31.8,42,0,28.2,0,28.2,9.1,24.3,0,28.2
          Female,10,23,9.1,19.7,9.1,19.7,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
"8740 Inspectors, testers, sorters, samplers, and weighers 8740 (SOC 51-9061)","1,235",244,100,3,19.4,7.5,52.6,11.1,0,3,5.7,4.1,0,3,2.3,14.8,10.1,8.1,9.7,6.9
          Male,840,203,68,9.4,18.6,7.4,38.5,10.4,0,3,0,3,0,3,1.1,10.3,8.5,7.9,0.8,1.8
          Female,400,139,32.4,9.4,0.8,1.4,13.8,7,0,3,5.7,4.1,0,3,1.2,10.5,1.6,2.5,8.9,6.3
8750 Jewelers and precious stone and metal workers 8750 (SOC 51-9071),10,22,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,10,22,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"8760 Medical, dental, and ophthalmic laboratory technicians 8760 (SOC 51-9080)",145,82,100,22.5,17.2,17.5,37.9,27.6,0,22.5,24.1,24.8,0,22.5,10.3,89.2,10.3,17.4,0,22.5
          Male,105,73,72.4,21.5,6.9,10.1,24.1,25.7,0,22.5,24.1,24.8,0,22.5,10.3,89.2,10.3,17.4,0,22.5
          Female,40,34,27.6,22.7,13.8,16,13.8,17,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
8800 Packaging and filling machine operators and tenders 8800 (SOC 51-9111),335,161,100,10.6,1.2,4.2,50.7,20.3,0,10.6,0,10.6,0,10.6,0,10.6,26.9,18.5,20.9,19.7
          Male,150,77,44.8,20.2,1.2,4.2,34.3,18.8,0,10.6,0,10.6,0,10.6,0,10.6,0,10.6,7.5,11
          Female,185,131,55.2,20.4,0,10.6,14.9,11.1,0,10.6,0,10.6,0,10.6,0,10.6,26.9,18.5,13.4,19.6
8810 Painting workers 8810 (SOC 51-9120),225,108,100,15.3,17.8,18,20,16,0,15.3,13.3,18.4,0,15.3,0,15.3,35.6,21.6,13.3,11.5
          Male,205,107,91.1,11.1,13.3,16.8,20,16,0,15.3,13.3,18.4,0,15.3,0,15.3,35.6,21.6,8.9,10
          Female,15,23,6.7,10.8,4.4,6.7,0,15.3,0,15.3,0,15.3,0,15.3,0,15.3,0,15.3,1.8,8.9
8830 Photographic process workers and processing machine operators 8830 (SOC 51-9151),255,118,100,13.6,7.8,8.6,43.1,21.9,0,13.6,5.9,11.4,0,13.6,29.4,54.5,0,13.6,11.8,12.2
          Male,70,58,27.5,19.2,3.9,6,25.5,19.1,0,13.6,0,13.6,0,13.6,0,13.6,0,13.6,0,13.6
          Female,185,104,72.5,19.3,3.9,7.5,17.6,18.3,0,13.6,5.9,11.4,0,13.6,29.4,54.5,0,13.6,11.8,12.2
8850 Adhesive bonding machine operators and tenders 8850 (SOC 51-9191),20,31,100,71.2,0,71.2,0,71.2,0,71.2,100,71.2,0,71.2,0,71.2,0,71.2,0,71.2
          Male,0,127,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
          Female,20,31,100,71.2,0,71.2,0,71.2,0,71.2,100,71.2,0,71.2,0,71.2,0,71.2,0,71.2
"8930 Paper goods machine setters, operators, and tenders 8930 (SOC 51-9196)",15,25,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,100,82.2
          Male,0,127,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,15,25,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,100,82.2
8950 Helpers--production workers 8950 (SOC 51-9198),135,98,100,23.9,3,2.9,66.7,35.4,0,23.9,14.8,22.7,0,23.9,3,94.7,0,23.9,11.1,22.9
          Male,120,98,88.9,22.7,3,2.9,66.7,35.4,0,23.9,14.8,22.7,0,23.9,3,94.7,0,23.9,0,23.9
          Female,15,28,11.1,22.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,11.1,22.9
"8965 Other production workers, including semiconductor processors and cooling and freezing equipment operators 8965 (SOC 51-91XX)",895,252,100,4.1,7.3,4.8,59.2,12.6,0,4.1,2.8,2.8,0,4.1,0,4.1,28.5,12.1,2.2,2.4
          Male,630,218,70.4,12.1,5,4.2,39.1,14.1,0,4.1,2.8,2.8,0,4.1,0,4.1,21.8,12.9,1.1,1.6
          Female,265,125,29.6,12.1,2.2,2.6,19.6,10.6,0,4.1,0,4.1,0,4.1,0,4.1,6.7,4.1,1.1,1.6
9000 Supervisors of transportation and material moving workers 9000 (SOC 53-1000),"1,005",224,100,3.7,28.4,9.9,59.2,10.4,0,3.7,6,5.8,0,3.7,0,3.7,3,4.2,3.5,3.5
          Male,760,189,75.6,10,24.4,9.1,42.3,11,0,3.7,3,3.6,0,3.7,0,3.7,3,4.2,3,3.4
          Female,245,114,24.4,10,3.5,3.4,16.9,9.1,0,3.7,3,4.9,0,3.7,0,3.7,0,3.7,0.4,1.2
9030 Aircraft pilots and flight engineers 9030 (SOC 53-2010),4,19,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,100
          Male,4,19,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
9040 Air traffic controllers and airfield operations specialists 9040 (SOC 53-2020),25,42,100,63.7,0,63.7,100,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Male,25,42,100,63.7,0,63.7,100,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Female,0,127,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
9050 Flight attendants 9050 (SOC 53-2031),55,69,100,43,0,43,100,43,0,43,0,43,0,43,0,43,0,43,0,43
          Male,0,127,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
          Female,55,69,100,43,0,43,100,43,0,43,0,43,0,43,0,43,0,43,0,43
"9110 Ambulance drivers and attendants, except emergency medical technicians 9110 (SOC 53-3011)",35,33,100,53.8,28.6,42.4,28.6,47.2,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,42.9,54.7
          Male,35,33,100,53.8,28.6,42.4,28.6,47.2,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,42.9,54.7
          Female,0,127,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8
9120 Bus drivers 9120 (SOC 53-3020),"3,875",499,100,1,7.7,3,88.4,3.8,0.4,0.7,0.4,0.6,0,1,0.9,3.5,0.4,0.9,1.8,1.4
